KPI,Unit,Min,Max
flng_259a,flng_259,MB,0,
flng_260a,flng_260,MB,0,
flng_261a,flng_261,MB,0,
flng_262a,flng_262,MB,0,
flng_263a,flng_263,MB,0,
flng_5016f,flng_5016,%,0,100
flng_265a,flng_265,#,0,
flng_266a,flng_266,%,0,100
flng_267a,flng_267,#,0,
flng_268a,flng_268,%,0,100
flng_269a,flng_269,#,0,
flng_270a,flng_270,%,0,100
flng_271a,flng_271,#,0,
flng_272a,flng_272,%,0,100
flng_273a,flng_273,#,0,
flng_274a,flng_274,%,0,100
flng_275a,flng_275,#,0,
flng_276a,flng_276,%,0,100
flng_277a,flng_277,#,0,
flng_278a,flng_278,%,0,100
flng_279a,flng_279,#,0,
flng_280a,flng_280,%,0,100
flng_281a,flng_281,kB,0,
flng_282a,flng_282,kB,0,
flng_283a,flng_283,kB,0,
flng_284a,flng_284,MB,0,
flng_284b,flng_284,MB,0,
flng_284c,flng_284,MB,0,
flng_285a,flng_285,MB,0,
flng_285b,flng_285,MB,0,
flng_285c,flng_285,MB,0,
flng_286a,flng_286,MB,0,
flng_286b,flng_286,MB,0,
flng_286c,flng_286,MB,0,
flng_287a,flng_287,MB,0,
flng_287b,flng_287,MB,0,
flng_287c,flng_287,MB,0,
flng_288a,flng_288,MB,0,
flng_288b,flng_288,MB,0,
flng_288c,flng_288,MB,0,
flng_289a,flng_289,MB,0,
flng_289b,flng_289,MB,0,
flng_289c,flng_289,MB,0,
flng_290a,flng_290,%,0,100
flng_291a,flng_291,%,0,100
flng_292a,flng_292,MB,0,
flng_292b,flng_292,MB,0,
flng_293a,flng_293,MB,0,
flng_294a,flng_294,#,0,
flng_294b,flng_294,#,0,
flng_295a,flng_295,#,0,
flng_296a,flng_296,%,0,100
flng_296b,flng_296,%,0,100
flng_297a,flng_297,%,0,100
flng_298a,flng_298,%,0,100
flng_298b,flng_298,%,0,100
flng_299a,flng_299,%,0,100
flng_300a,flng_300,Mb/s,0,
flng_300b,flng_300,Mb/s,0,
flng_5017b,flng_5017,%,0,100
flng_302a,flng_302,#,0,
flng_302b,flng_302,#,0,
flng_303a,flng_303,%,0,100
flng_303b,flng_303,%,0,100
flng_304a,flng_304,#,0,
flng_305a,flng_305,%,0,100
flng_306a,flng_306,#,0,
flng_306b,flng_306,#,0,
flng_307a,flng_307,%,0,100
flng_307b,flng_307,%,0,100
flng_308a,flng_308,#,0,
flng_309a,flng_309,%,0,100
flng_310a,flng_310,#,0,
flng_311a,flng_311,MB,0,
flng_312a,flng_312,MB,0,
flng_313a,flng_313,MB,0,
flng_314a,flng_314,MB,0,
