KPI,Unit
flng_641h,#/s
flng_641i,#/s
flng_641j,#/s
flng_641k,#/s
flng_641l,#/s
flng_642a,%
flng_643a,%
flng_644a,B
flng_645a,B
flng_646a,B
flng_647a,%
flng_647b,%
flng_647c,%
flng_648a,%
flng_648b,%
flng_648c,%
flng_649a,#
flng_650a,#
flng_651a,#
flng_652a,#
flng_653a,#
flng_654a,#
flng_655a,#
flng_656a,#
flng_657a,#
flng_658a,#
flng_659a,MB
flng_660a,MB
flng_661a,MB
flng_662a,Mbps
flng_663a,Mbps
flng_664a,Mbps
flng_665a,#
flng_666a,%
flng_666b,%
flng_667a,#
flng_668a,%
flng_668b,%
flng_669a,#
flng_670a,%
flng_670b,%
flng_671a,#
flng_672a,%
flng_673a,#
flng_674a,%
flng_675a,#
flng_676a,%
flng_676b,%
flng_677a,#
flng_678a,#
flng_679a,%
flng_680a,#
flng_681a,%
flng_682a,#
flng_683a,%
flng_684a,kB
flng_685a,%
flng_686a,%
flng_687a,%
flng_688a,%
flng_689a,%
flng_690a,%
flng_691a,%
flng_692a,%
flng_693a,%
flng_694a,%
flng_695a,%
flng_696a,%
flng_697a,%
flng_698a,%
flng_699a,%
flng_700a,%
flng_701a,%
flng_702a,%
flng_703a,%
flng_704a,%
flng_705a,%
flng_706a,%
flng_707a,%
flng_708a,%
flng_709a,%
flng_710a,%
flng_711a,%
flng_712a,%
flng_713a,%
flng_714a,%
flng_715a,%
flng_716a,%
flng_717a,%
flng_718a,%
flng_719a,%
flng_720a,%
flng_721a,%
flng_722a,%
flng_723a,%
flng_724a,%
flng_725a,%
flng_726a,%
flng_727a,%
flng_728a,%
flng_729a,%
flng_730a,%
flng_731a,%
flng_732a,%
flng_733a,%
flng_734a,%
flng_735a,%
flng_736a,%
flng_737a,%
flng_738a,%
flng_739a,%
flng_740a,%
flng_741a,%
flng_742a,%
flng_743a,%
flng_744a,%
flng_745a,#
flng_746a,#
flng_747a,#
flng_748a,#
flng_749a,%
flng_750a,%
flng_751a,%
flng_752a,%
flng_753a,%
flng_754a,%
flng_755a,%
flng_756a,%
flng_757a,%
flng_758a,%
flng_759a,%
flng_760a,%
flng_760b,%
flng_761a,%
flng_762a,%
flng_763a,B
flng_764a,B
flng_765a,B
flng_766a,B
flng_767a,B
flng_768a,B
flng_769a,%
flng_769b,%
flng_769c,%
flng_770a,%
flng_770b,%
flng_770c,%
flng_770d,%
flng_771a,%
flng_771b,%
flng_771c,%
flng_771d,%
flng_772a,%
flng_772b,%
flng_772c,%
flng_773a,#
flng_774a,%
flng_775a,#
flng_776a,%
flng_777a,#
flng_778a,#
flng_779a,%
flng_779b,%
flng_780a,#
flng_781a,%
flng_782a,#
flng_783a,%
flng_784a,#
flng_785a,%
flng_786a,#
flng_787a,%
flng_788a,%
flng_789a,%
flng_790a,%
flng_790b,%
flng_791a,%
flng_792a,%
flng_792b,%
flng_793a,%
flng_793b,%
flng_794a,%
flng_794b,%
flng_795a,#
flng_795b,#
flng_796a,#
flng_797a,#/s
flng_797b,#/s
flng_797c,#/s
flng_797d,#/s
flng_797e,#/s
flng_797f,#/s
flng_797g,#/s
flng_797h,#/s
flng_797i,#/s
flng_798a,#
flng_798b,#
flng_798c,#
flng_798d,#
flng_799a,#
flng_800a,#
flng_801a,#
flng_802a,#
flng_803a,%
flng_804a,%
flng_805a,%
flng_806a,%
flng_807a,#
flng_808a,%
flng_809a,#
flng_810a,%
flng_811a,%
flng_812a,%
flng_813a,%
flng_814a,MB
flng_815a,MB
flng_816a,MB
flng_817a,#/s
flng_817b,#/s
flng_818a,#/s
flng_819a,#/s
flng_820a,#/s
flng_820b,#/s
flng_821a,#/s
flng_821b,#/s
flng_822a,%
flng_823a,%
flng_824a,%
flng_825a,%
flng_825b,%
flng_825c,%
flng_826a,%
flng_826b,%
flng_826c,%
flng_827a,%
flng_827b,%
flng_827c,%
flng_828a,#/s
flng_828b,#/s
flng_828c,#/s
flng_828d,#/s
flng_829a,%
flng_830a,%
flng_831a,%
flng_832a,%
flng_833a,%
flng_834a,%
flng_835a,#
flng_836a,%
flng_837a,#
flng_838a,%
flng_839a,%
flng_840a,%
flng_841a,%
flng_842a,#
flng_843a,%
flng_844a,%
flng_845a,%
flng_846a,%
flng_846b,%
flng_847a,#
flng_848a,%
flng_849a,%
flng_850a,%
flng_851a,%
flng_852a,%
flng_853a,%
flng_854a,%
flng_855a,%
flng_856a,%
flng_856b,%
flng_857a,%
flng_858a,Mbps
flng_858b,Mbps
flng_859a,#/s
flng_859b,#/s
flng_859c,#/s
flng_859d,#/s
flng_859e,#/s
flng_859f,#/s
flng_860a,%
flng_860b,%
flng_861a,#
flng_862a,%
flng_863a,%
flng_864a,#
flng_865a,%
flng_866a,#
flng_867a,%
flng_868a,%
flng_869a,#
flng_870a,%
flng_871a,#
flng_872a,%
flng_873a,%
flng_874a,#
flng_875a,%
flng_876a,#
flng_877a,%
flng_878a,%
flng_879a,#
flng_880a,%
flng_881a,#
flng_882a,%
flng_883a,%
flng_884a,#
flng_885a,%
flng_886a,#
flng_887a,%
flng_888a,%
flng_889a,#
flng_890a,%
flng_891a,#
flng_892a,%
flng_893a,%
flng_894a,#
flng_895a,%
flng_896a,#
flng_897a,%
flng_898a,%
flng_899a,#
flng_900a,%
flng_901a,#
flng_902a,%
flng_903a,%
flng_904a,#
flng_905a,%
flng_906a,#
flng_907a,%
flng_908a,%
flng_909a,#
flng_910a,%
flng_911a,#
flng_912a,%
flng_913a,%
flng_914a,#
flng_915a,%
flng_916a,#
flng_917a,%
flng_918a,%
flng_919a,#
